Vardas                Pavardė             ND1             ND2             ND3             ND4             ND5             ND6             ND7             ND8             ND9             ND10           Egz.
Vardas80             Pavarde80             10             7              7              2              4              7              10             8              5              5              6              
Vardas81             Pavarde81             6              4              0              6              8              0              1              6              5              0              5              
Vardas82             Pavarde82             6              5              3              6              8              10             4              7              8              8              10             
Vardas83             Pavarde83             4              2              4              10             0              2              3              9              3              3              0              
Vardas84             Pavarde84             4              1              9              0              6              0              4              8              5              2              8              
Vardas85             Pavarde85             9              4              6              2              5              2              3              3              7              10             7              
Vardas86             Pavarde86             4              3              8              1              0              8              2              10             6              7              0              
Vardas87             Pavarde87             2              10             1              2              7              0              1              6              1              3              10             
Vardas88             Pavarde88             2              9              0              0              0              4              3              6              6              2              1              
Vardas89             Pavarde89             6              0              2              3              1              5              6              5              8              8              5              
Vardas90             Pavarde90             5              8              0              5              9              5              5              4              1              1              4              
Vardas91             Pavarde91             9              10             5              9              6              4              7              5              6              3              7              
Vardas92             Pavarde92             0              3              2              1              0              10             9              7              10             10             2              
Vardas93             Pavarde93             8              7              10             4              9              10             1              7              10             0              9              
Vardas94             Pavarde94             2              2              1              9              9              9              0              2              6              6              2              
Vardas95             Pavarde95             8              0              8              1              3              5              9              8              3              1              2              
Vardas96             Pavarde96             10             7              3              5              6              9              0              1              1              9              5              
Vardas97             Pavarde97             8              8              10             4              4              5              2              3              8              4              8              
Vardas98             Pavarde98             3              9              10             9              2              0              10             4              2              9              3              
Vardas99             Pavarde99             4              2              9              1              1              10             3              4              5              3              6              
Vardas100            Pavarde100            10             8              6              10             10             9              6              4              1              1              8              
Vardas101            Pavarde101            6              1              8              7              0              9              6              6              6              2              10             
Vardas102            Pavarde102            2              7              9              1              9              2              7              10             9              9              7              
Vardas103            Pavarde103            7              4              7              1              8              7              1              7              2              1              5              
Vardas104            Pavarde104            1              2              2              6              1              3              7              1              3              10             7              
Vardas105            Pavarde105            3              0              5              4              7              7              1              4              9              7              0              
Vardas106            Pavarde106            3              9              9              8              2              8              5              3              4              5              5              
Vardas107            Pavarde107            1              6              8              1              10             0              4              2              10             1              8              
Vardas108            Pavarde108            8              0              5              0              10             7              9              0              2              0              8              
Vardas109            Pavarde109            10             6              9              2              4              3              8              5              3              3              9              
Vardas110            Pavarde110            3              7              6              7              6              4              1              8              0              2              5              
Vardas111            Pavarde111            3              9              7              4              4              5              2              8              3              7              5              
Vardas112            Pavarde112            7              7              7              6              6              3              9              6              5              0              10             
Vardas113            Pavarde113            9              2              5              1              4              0              5              9              0              2              5              
Vardas114            Pavarde114            1              9              0              6              7              6              10             2              7              2              8              
Vardas115            Pavarde115            5              1              1              3              0              0              3              3              8              0              6              
Vardas116            Pavarde116            6              8              1              0              7              9              6              8              3              6              4              
Vardas117            Pavarde117            9              6              10             7              6              8              6              2              8              8              10             
Vardas118            Pavarde118            2              7              9              7              1              3              9              3              1              5              10             
Vardas119            Pavarde119            8              1              5              5              0              6              0              6              9              4              2              
Vardas120            Pavarde120            7              6              9              4              2              8              8              7              9              9              5              
Vardas121            Pavarde121            10             8              2              5              0              8              2              0              3              9              3              
Vardas122            Pavarde122            4              6              5              3              0              4              5              10             6              0              7              
Vardas123            Pavarde123            0              3              8              5              4              8              0              1              6              5              0              
Vardas124            Pavarde124            9              9              3              8              9              10             3              1              3              1              5              
Vardas125            Pavarde125            1              1              3              6              10             10             4              8              5              3              10             
Vardas126            Pavarde126            8              1              9              8              7              0              9              2              7              7              5              
Vardas127            Pavarde127            1              0              3              3              9              2              7              6              2              7              1              
Vardas128            Pavarde128            5              10             8              3              2              5              8              1              3              2              9              
Vardas129            Pavarde129            0              2              2              1              5              6              5              10             6              2              10             
Vardas130            Pavarde130            10             5              10             2              7              1              1              7              3              3              2              
Vardas131            Pavarde131            10             9              5              10             7              10             8              1              6              7              3              
Vardas132            Pavarde132            5              2              6              4              5              0              7              6              5              2              5              
Vardas133            Pavarde133            0              2              10             0              2              7              8              3              10             0              8              
Vardas134            Pavarde134            6              0              6              2              8              2              10             5              2              0              5              
Vardas135            Pavarde135            7              4              4              8              4              3              4              10             10             5              6              
Vardas136            Pavarde136            0              10             10             1              2              9              2              7              9              6              3              
Vardas137            Pavarde137            1              8              5              8              7              1              0              0              4              9              1              
Vardas138            Pavarde138            0              2              2              3              9              7              3              8              2              5              4              
Vardas139            Pavarde139            2              10             5              2              9              8              6              10             1              8              7              
Vardas140            Pavarde140            1              0              3              1              1              8              5              3              3              8              5              
Vardas141            Pavarde141            9              2              10             7              0              10             10             0              6              9              4              
Vardas142            Pavarde142            7              5              5              2              5              6              8              2              9              5              9              
Vardas143            Pavarde143            5              5              10             3              4              5              4              1              6              7              7              
Vardas144            Pavarde144            4              5              10             9              5              4              2              7              10             3              4              
Vardas145            Pavarde145            2              8              2              4              1              5              9              0              4              8              0              
Vardas146            Pavarde146            10             7              7              4              5              5              5              1              1              3              7              
Vardas147            Pavarde147            6              10             4              9              9              8              5              9              3              3              7              
Vardas148            Pavarde148            0              3              5              10             0              7              8              5              7              10             4              
Vardas149            Pavarde149            6              1              2              1              1              10             1              3              10             8              5              
Vardas150            Pavarde150            4              8              9              8              8              3              5              10             0              6              9              
Vardas151            Pavarde151            0              1              2              6              5              10             6              4              1              7              2              
Vardas152            Pavarde152            4              5              5              5              9              2              0              6              7              7              2              
Vardas153            Pavarde153            0              7              1              7              10             1              8              5              1              4              10             
Vardas154            Pavarde154            4              2              1              8              8              5              5              8              0              8              3              
Vardas155            Pavarde155            3              0              1              4              10             10             2              8              9              10             2              
Vardas156            Pavarde156            10             2              0              10             8              10             3              0              2              4              0              
Vardas157            Pavarde157            1              4              5              3              5              0              7              1              10             2              2              
Vardas158            Pavarde158            4              0              9              0              3              6              4              9              8              9              7              
Vardas159            Pavarde159            5              10             1              4              8              6              8              4              10             4              3              
Vardas160            Pavarde160            0              8              6              2              8              5              5              9              2              0              0              
Vardas161            Pavarde161            3              4              0              0              1              4              7              3              3              7              10             
Vardas162            Pavarde162            2              2              1              10             5              7              5              0              7              2              1              
Vardas163            Pavarde163            7              9              9              8              7              2              6              2              3              4              4              
Vardas164            Pavarde164            8              10             6              8              3              1              2              1              1              0              7              
Vardas165            Pavarde165            5              0              7              10             8              0              2              3              8              1              7              
Vardas166            Pavarde166            8              5              7              10             8              4              2              5              6              4              5              
Vardas167            Pavarde167            6              2              3              1              8              10             2              5              2              2              7              
Vardas168            Pavarde168            2              2              1              6              6              6              6              1              6              5              4              
Vardas169            Pavarde169            3              3              9              7              3              4              3              5              4              6              9              
Vardas170            Pavarde170            10             2              4              0              1              2              5              9              6              9              1              
Vardas171            Pavarde171            5              6              5              1              2              6              2              10             7              4              0              
Vardas172            Pavarde172            10             1              7              0              9              3              7              6              9              9              5              
Vardas173            Pavarde173            3              1              0              2              4              5              2              8              9              4              4              
Vardas174            Pavarde174            9              0              2              8              0              1              2              4              5              7              6              
Vardas175            Pavarde175            7              10             0              2              4              7              10             7              1              2              10             
Vardas176            Pavarde176            8              7              8              7              0              10             2              10             6              5              4              
Vardas177            Pavarde177            6              7              9              2              8              2              7              3              2              10             10             
Vardas178            Pavarde178            7              7              0              1              4              6              7              1              2              2              2              
Vardas179            Pavarde179            2              7              8              3              2              2              7              1              1              0              0              
Vardas180            Pavarde180            4              9              5              0              1              5              2              4              1              9              10             
Vardas181            Pavarde181            3              8              1              8              6              0              4              3              1              1              4              
Vardas182            Pavarde182            1              6              3              6              1              6              6              7              4              10             10             
Vardas183            Pavarde183            1              6              5              10             4              2              6              10             6              6              0              
Vardas184            Pavarde184            0              8              0              0              7              1              1              6              4              4              3              
Vardas185            Pavarde185            0              6              1              0              3              7              6              4              6              10             4              
Vardas186            Pavarde186            3              2              4              5              5              7              3              9              0              3              8              
Vardas187            Pavarde187            5              10             5              1              8              8              0              3              1              10             9              
Vardas188            Pavarde188            0              3              8              9              1              4              4              4              2              3              9              
Vardas189            Pavarde189            4              7              1              9              10             6              8              7              6              1              7              
Vardas190            Pavarde190            9              9              7              6              3              7              0              6              10             6              7              
Vardas191            Pavarde191            0              2              6              10             8              7              7              5              6              5              4              
Vardas192            Pavarde192            6              2              0              6              0              4              6              4              5              10             0              
Vardas193            Pavarde193            3              7              3              8              0              8              8              4              8              1              4              
Vardas194            Pavarde194            2              10             7              9              7              6              5              1              7              4              7              
Vardas195            Pavarde195            0              8              9              9              6              7              1              10             6              2              9              
Vardas196            Pavarde196            7              10             1              4              0              2              4              4              4              4              0              
Vardas197            Pavarde197            7              7              10             4              6              4              7              9              7              8              9              
Vardas198            Pavarde198            9              0              3              7              10             3              10             5              8              7              6              
Vardas199            Pavarde199            1              4              4              0              6              8              0              10             0              3              4              
Vardas200            Pavarde200            7              8              5              7              4              8              10             0              2              4              5              
Vardas201            Pavarde201            5              7              4              10             5              8              3              6              0              5              5              
Vardas202            Pavarde202            8              5              1              7              2              0              0              3              10             6              7              
Vardas203            Pavarde203            3              10             6              8              1              5              6              8              10             0              9              
Vardas204            Pavarde204            1              2              4              0              0              2              8              9              9              7              4              
Vardas205            Pavarde205            7              10             3              9              8              7              3              7              7              10             1              
Vardas206            Pavarde206            10             5              2              6              2              0              9              1              9              8              4              
Vardas207            Pavarde207            9              3              5              10             4              2              4              0              7              3              7              
Vardas208            Pavarde208            9              6              0              3              9              10             4              9              2              5              8              
Vardas209            Pavarde209            5              4              7              9              3              6              3              8              7              6              9              
Vardas210            Pavarde210            4              10             5              2              5              2              9              0              3              7              7              
Vardas211            Pavarde211            3              2              8              10             8              4              2              4              3              1              4              
Vardas212            Pavarde212            0              5              9              7              6              7              8              4              5              0              10             
Vardas213            Pavarde213            5              4              1              5              5              5              5              9              6              10             9              
Vardas214            Pavarde214            1              1              6              9              4              6              6              8              0              1              0              
