Vardas                Pavardė             ND1             ND2             ND3             ND4             ND5             ND6             ND7             ND8           Egz.
Vardas114            Pavarde114            0              2              6              5              4              6              4              1              1              
Vardas115            Pavarde115            6              2              9              1              7              5              7              7              2              
Vardas116            Pavarde116            0              7              1              7              10             9              6              10             8              
Vardas117            Pavarde117            9              7              5              1              8              7              6              9              3              
Vardas118            Pavarde118            8              7              5              0              10             9              4              0              6              
Vardas119            Pavarde119            9              10             5              7              9              6              1              9              7              
Vardas120            Pavarde120            2              2              7              10             1              2              10             1              5              
Vardas121            Pavarde121            1              8              5              0              9              3              1              7              1              
Vardas122            Pavarde122            10             8              9              7              0              4              6              6              0              
Vardas123            Pavarde123            3              3              10             2              1              7              2              2              9              
Vardas124            Pavarde124            6              0              10             6              2              8              7              1              6              
Vardas125            Pavarde125            8              4              5              4              3              1              1              4              5              
Vardas126            Pavarde126            3              3              4              1              1              4              10             7              4              
Vardas127            Pavarde127            1              5              7              2              10             6              6              4              9              
Vardas128            Pavarde128            3              8              5              2              10             8              0              4              7              
Vardas129            Pavarde129            1              6              10             8              8              3              6              4              2              
Vardas130            Pavarde130            8              4              10             9              3              9              10             3              9              
Vardas131            Pavarde131            3              9              6              9              3              4              8              7              7              
Vardas132            Pavarde132            6              1              10             5              10             3              3              2              8              
Vardas133            Pavarde133            3              0              9              3              5              7              9              1              3              
Vardas134            Pavarde134            6              3              0              10             2              1              3              7              9              
Vardas135            Pavarde135            3              3              9              4              0              9              8              5              8              
Vardas136            Pavarde136            8              2              7              10             1              0              5              3              7              
Vardas137            Pavarde137            2              3              1              0              5              3              9              7              6              
Vardas138            Pavarde138            0              9              7              7              0              0              3              8              0              
Vardas139            Pavarde139            8              2              6              0              3              7              2              7              9              
Vardas140            Pavarde140            6              6              8              1              3              6              1              2              7              
Vardas141            Pavarde141            10             0              8              5              7              2              8              0              5              
Vardas142            Pavarde142            4              4              0              10             0              5              3              7              2              
Vardas143            Pavarde143            2              1              0              7              8              1              8              9              5              
Vardas144            Pavarde144            0              0              8              0              9              5              7              1              9              
Vardas145            Pavarde145            0              10             4              1              1              9              0              3              6              
Vardas146            Pavarde146            0              4              5              8              0              6              2              8              1              
Vardas147            Pavarde147            10             8              2              7              8              3              0              3              5              
Vardas148            Pavarde148            9              4              10             1              5              0              10             7              3              
Vardas149            Pavarde149            10             3              0              10             5              1              2              10             5              
Vardas150            Pavarde150            9              10             0              4              8              1              10             8              5              
Vardas151            Pavarde151            4              7              1              8              8              9              6              6              5              
Vardas152            Pavarde152            9              1              5              10             10             3              2              6              4              
Vardas153            Pavarde153            2              3              5              0              4              6              7              5              0              
Vardas154            Pavarde154            2              1              10             2              1              0              2              10             7              
Vardas155            Pavarde155            0              4              9              10             4              6              6              4              0              
Vardas156            Pavarde156            0              2              6              4              0              8              7              10             0              
Vardas157            Pavarde157            3              6              9              1              5              10             2              1              2              
Vardas158            Pavarde158            5              0              6              1              2              6              8              2              2              
Vardas159            Pavarde159            3              5              1              6              6              3              4              3              9              
Vardas160            Pavarde160            10             9              10             6              10             1              4              8              3              
Vardas161            Pavarde161            7              0              6              8              4              6              3              9              3              
Vardas162            Pavarde162            2              8              8              4              6              6              10             2              9              
Vardas163            Pavarde163            4              3              0              7              5              3              2              6              7              
Vardas164            Pavarde164            7              10             2              3              2              9              8              8              8              
Vardas165            Pavarde165            0              9              1              9              1              4              8              10             3              
Vardas166            Pavarde166            2              10             8              5              3              10             5              4              6              
Vardas167            Pavarde167            7              0              10             2              2              9              4              4              6              
Vardas168            Pavarde168            5              9              5              3              7              7              10             9              6              
Vardas169            Pavarde169            6              4              7              6              6              8              6              3              3              
Vardas170            Pavarde170            6              7              8              7              7              2              6              4              5              
Vardas171            Pavarde171            9              3              10             5              6              0              9              6              4              
Vardas172            Pavarde172            3              1              4              5              3              10             3              2              10             
Vardas173            Pavarde173            7              10             3              6              7              4              6              4              0              
Vardas174            Pavarde174            5              9              9              6              5              2              10             10             1              
Vardas175            Pavarde175            5              7              6              3              9              5              10             10             0              
Vardas176            Pavarde176            4              8              1              8              3              4              3              0              9              
Vardas177            Pavarde177            6              5              7              6              8              2              4              4              3              
Vardas178            Pavarde178            10             1              8              7              5              5              6              4              9              
Vardas179            Pavarde179            9              8              9              9              7              6              6              6              2              
Vardas180            Pavarde180            0              6              6              9              0              4              7              2              10             
Vardas181            Pavarde181            4              4              4              9              6              5              9              5              6              
Vardas182            Pavarde182            9              3              2              8              8              0              8              4              0              
Vardas183            Pavarde183            6              8              6              0              6              8              6              5              2              
Vardas184            Pavarde184            5              0              9              8              1              10             9              9              2              
Vardas185            Pavarde185            3              1              2              7              7              9              7              8              5              
Vardas186            Pavarde186            1              1              6              2              0              1              9              0              7              
Vardas187            Pavarde187            2              8              6              5              2              10             6              5              0              
Vardas188            Pavarde188            7              8              3              1              9              6              9              6              5              
Vardas189            Pavarde189            5              8              10             6              4              6              10             9              6              
Vardas190            Pavarde190            7              0              10             6              4              7              1              0              10             
Vardas191            Pavarde191            9              7              0              9              2              2              3              7              1              
Vardas192            Pavarde192            7              8              9              6              9              9              1              1              0              
Vardas193            Pavarde193            8              3              7              8              5              0              3              8              8              
Vardas194            Pavarde194            5              1              0              2              6              7              1              1              6              
Vardas195            Pavarde195            0              5              5              10             6              1              3              8              2              
Vardas196            Pavarde196            6              2              3              7              8              6              6              5              9              
Vardas197            Pavarde197            4              10             1              10             4              3              9              4              3              
Vardas198            Pavarde198            0              2              7              4              7              2              0              3              0              
Vardas199            Pavarde199            3              8              1              5              0              4              10             1              1              
Vardas200            Pavarde200            9              3              0              9              2              8              7              2              10             
Vardas201            Pavarde201            1              5              0              3              0              1              2              2              3              
Vardas202            Pavarde202            3              10             7              6              4              6              6              6              2              
Vardas203            Pavarde203            6              2              6              3              3              4              1              2              5              
Vardas204            Pavarde204            8              5              7              2              2              5              1              8              8              
Vardas205            Pavarde205            7              5              8              8              6              7              2              3              0              
Vardas206            Pavarde206            3              3              8              6              1              7              2              1              9              
Vardas207            Pavarde207            3              1              9              0              0              7              5              1              4              
Vardas208            Pavarde208            9              5              9              6              1              8              2              3              0              
Vardas209            Pavarde209            0              9              10             4              5              0              0              7              7              
Vardas210            Pavarde210            10             5              5              4              10             8              2              2              3              
Vardas211            Pavarde211            8              6              10             2              7              4              7              0              4              
Vardas212            Pavarde212            2              4              0              5              7              4              8              8              9              
Vardas213            Pavarde213            0              9              8              0              7              2              3              1              7              
Vardas214            Pavarde214            0              9              10             8              9              4              3              7              1              
Vardas215            Pavarde215            8              0              7              4              9              9              6              0              6              
Vardas216            Pavarde216            10             0              2              9              2              10             2              0              5              
Vardas217            Pavarde217            1              8              7              2              4              1              2              1              6              
Vardas218            Pavarde218            6              8              3              7              10             3              2              1              4              
Vardas219            Pavarde219            5              8              7              4              3              4              5              9              1              
Vardas220            Pavarde220            5              8              3              3              6              1              10             2              5              
Vardas221            Pavarde221            6              3              2              1              9              10             0              5              3              
Vardas222            Pavarde222            0              10             5              1              2              3              8              4              5              
Vardas223            Pavarde223            8              7              6              3              6              9              1              0              10             
Vardas224            Pavarde224            4              6              5              3              8              7              0              9              7              
Vardas225            Pavarde225            1              10             8              5              9              10             8              1              6              
Vardas226            Pavarde226            4              9              4              2              10             5              0              2              0              
Vardas227            Pavarde227            2              4              5              4              7              10             1              10             6              
Vardas228            Pavarde228            3              5              7              6              4              8              8              0              8              
Vardas229            Pavarde229            8              10             10             7              1              0              10             2              5              
Vardas230            Pavarde230            5              5              4              9              6              4              0              1              9              
Vardas231            Pavarde231            0              3              1              8              10             5              6              3              9              
Vardas232            Pavarde232            7              9              10             8              7              7              10             3              0              
Vardas233            Pavarde233            8              8              7              3              1              7              0              8              6              
Vardas234            Pavarde234            0              3              3              6              3              5              7              4              1              
Vardas235            Pavarde235            4              7              1              3              6              7              1              1              1              
Vardas236            Pavarde236            9              9              3              6              6              6              4              1              2              
Vardas237            Pavarde237            0              8              6              9              7              4              8              2              6              
Vardas238            Pavarde238            8              6              7              2              10             7              4              3              0              
Vardas239            Pavarde239            4              10             2              7              5              4              0              1              0              
Vardas240            Pavarde240            0              7              1              5              7              2              1              4              3              
Vardas241            Pavarde241            6              7              6              10             4              2              2              0              3              
Vardas242            Pavarde242            8              5              5              2              3              9              2              3              0              
Vardas243            Pavarde243            7              9              5              0              7              6              1              2              3              
Vardas244            Pavarde244            5              3              5              2              9              5              7              7              4              
Vardas245            Pavarde245            7              9              8              1              5              9              9              1              3              
Vardas246            Pavarde246            7              4              10             4              5              5              2              0              3              
Vardas247            Pavarde247            6              9              6              3              4              1              0              8              0              
Vardas248            Pavarde248            9              6              4              8              7              2              4              4              1              
Vardas249            Pavarde249            10             10             9              6              9              8              10             8              1              
Vardas250            Pavarde250            10             8              3              2              1              7              5              8              0              
