Vardas                Pavardė             ND1             ND2             ND3             ND4           Egz.
Vardas209            Pavarde209            2              6              4              9              0              
Vardas210            Pavarde210            0              0              7              3              6              
Vardas211            Pavarde211            6              9              5              6              2              
Vardas212            Pavarde212            4              7              5              0              6              
Vardas213            Pavarde213            8              0              5              10             1              
Vardas214            Pavarde214            2              8              0              1              4              
Vardas215            Pavarde215            8              7              7              6              9              
Vardas216            Pavarde216            3              7              8              0              7              
Vardas217            Pavarde217            2              10             3              4              1              
Vardas218            Pavarde218            9              0              3              8              0              
Vardas219            Pavarde219            9              10             4              9              7              
Vardas220            Pavarde220            9              1              8              6              10             
Vardas221            Pavarde221            8              10             6              8              1              
Vardas222            Pavarde222            8              5              10             1              5              
Vardas223            Pavarde223            1              7              4              9              8              
Vardas224            Pavarde224            2              10             8              0              7              
Vardas225            Pavarde225            10             9              7              9              9              
Vardas226            Pavarde226            0              4              9              5              2              
Vardas227            Pavarde227            3              5              0              5              8              
Vardas228            Pavarde228            6              10             4              2              3              
Vardas229            Pavarde229            0              5              2              8              3              
Vardas230            Pavarde230            1              2              0              1              7              
Vardas231            Pavarde231            4              8              5              0              6              
Vardas232            Pavarde232            2              4              2              7              3              
Vardas233            Pavarde233            5              7              10             10             0              
Vardas234            Pavarde234            7              9              9              2              6              
Vardas235            Pavarde235            0              10             6              2              2              
Vardas236            Pavarde236            9              1              6              5              2              
Vardas237            Pavarde237            7              8              3              9              9              
Vardas238            Pavarde238            2              2              0              4              7              
Vardas239            Pavarde239            6              4              4              1              3              
Vardas240            Pavarde240            7              7              1              10             4              
Vardas241            Pavarde241            1              1              4              4              1              
Vardas242            Pavarde242            6              1              4              1              5              
Vardas243            Pavarde243            5              10             2              0              2              
Vardas244            Pavarde244            10             3              8              7              10             
Vardas245            Pavarde245            5              10             0              0              10             
Vardas246            Pavarde246            6              8              7              2              1              
Vardas247            Pavarde247            0              5              6              6              1              
Vardas248            Pavarde248            8              4              8              2              0              
Vardas249            Pavarde249            0              2              4              2              2              
Vardas250            Pavarde250            0              7              9              4              6              
Vardas251            Pavarde251            10             4              8              0              2              
Vardas252            Pavarde252            1              10             3              6              6              
Vardas253            Pavarde253            1              6              1              0              10             
Vardas254            Pavarde254            1              6              2              6              2              
Vardas255            Pavarde255            10             9              3              10             0              
Vardas256            Pavarde256            10             4              1              10             0              
Vardas257            Pavarde257            6              4              10             2              2              
Vardas258            Pavarde258            10             1              3              8              9              
Vardas259            Pavarde259            3              6              2              3              6              
Vardas260            Pavarde260            1              9              2              3              8              
Vardas261            Pavarde261            1              3              10             8              6              
Vardas262            Pavarde262            10             5              7              8              8              
Vardas263            Pavarde263            2              10             10             10             3              
Vardas264            Pavarde264            9              1              7              0              6              
Vardas265            Pavarde265            8              1              4              7              7              
Vardas266            Pavarde266            1              6              3              6              2              
Vardas267            Pavarde267            3              5              2              0              9              
Vardas268            Pavarde268            9              9              3              4              3              
Vardas269            Pavarde269            7              7              0              6              1              
Vardas270            Pavarde270            7              5              4              2              1              
Vardas271            Pavarde271            6              10             7              5              8              
Vardas272            Pavarde272            10             2              10             9              10             
Vardas273            Pavarde273            5              1              5              10             2              
Vardas274            Pavarde274            2              7              4              6              7              
Vardas275            Pavarde275            3              3              7              1              6              
Vardas276            Pavarde276            8              6              10             5              5              
Vardas277            Pavarde277            10             9              3              4              8              
Vardas278            Pavarde278            9              6              5              2              3              
Vardas279            Pavarde279            9              6              2              9              10             
Vardas280            Pavarde280            0              6              6              9              3              
Vardas281            Pavarde281            6              0              3              5              6              
Vardas282            Pavarde282            6              6              1              9              6              
Vardas283            Pavarde283            8              5              0              8              10             
Vardas284            Pavarde284            10             5              0              0              9              
Vardas285            Pavarde285            7              2              0              10             10             
Vardas286            Pavarde286            9              8              1              8              5              
Vardas287            Pavarde287            5              1              8              1              9              
Vardas288            Pavarde288            10             2              3              0              3              
Vardas289            Pavarde289            2              3              3              5              7              
Vardas290            Pavarde290            10             6              10             9              0              
Vardas291            Pavarde291            4              4              4              6              6              
Vardas292            Pavarde292            0              3              6              7              2              
Vardas293            Pavarde293            6              4              10             9              2              
Vardas294            Pavarde294            5              1              9              2              3              
Vardas295            Pavarde295            8              3              10             10             1              
Vardas296            Pavarde296            4              4              9              7              10             
Vardas297            Pavarde297            6              9              1              6              7              
Vardas298            Pavarde298            5              7              2              9              1              
Vardas299            Pavarde299            5              9              6              4              8              
Vardas300            Pavarde300            7              8              8              1              4              
Vardas301            Pavarde301            8              4              8              8              2              
Vardas302            Pavarde302            1              5              5              4              2              
Vardas303            Pavarde303            2              3              9              9              10             
Vardas304            Pavarde304            7              8              3              2              7              
Vardas305            Pavarde305            8              10             7              1              7              
Vardas306            Pavarde306            5              10             5              9              6              
Vardas307            Pavarde307            6              2              1              3              6              
Vardas308            Pavarde308            7              7              6              1              8              
Vardas309            Pavarde309            9              9              7              0              10             
Vardas310            Pavarde310            7              1              0              0              5              
Vardas311            Pavarde311            0              7              0              3              2              
Vardas312            Pavarde312            3              8              7              2              7              
Vardas313            Pavarde313            8              4              1              8              1              
Vardas314            Pavarde314            3              5              3              3              9              
Vardas315            Pavarde315            9              0              4              8              7              
Vardas316            Pavarde316            10             4              8              4              4              
Vardas317            Pavarde317            1              3              0              4              10             
Vardas318            Pavarde318            9              10             0              7              1              
Vardas319            Pavarde319            0              8              4              2              5              
Vardas320            Pavarde320            5              2              8              0              3              
Vardas321            Pavarde321            0              10             8              2              4              
Vardas322            Pavarde322            4              9              9              8              9              
Vardas323            Pavarde323            1              0              5              10             1              
Vardas324            Pavarde324            3              5              5              4              9              
Vardas325            Pavarde325            10             3              10             6              5              
Vardas326            Pavarde326            7              4              4              6              4              
Vardas327            Pavarde327            1              5              8              7              7              
Vardas328            Pavarde328            8              9              8              3              1              
Vardas329            Pavarde329            0              0              0              4              10             
Vardas330            Pavarde330            3              1              9              6              8              
Vardas331            Pavarde331            8              1              6              5              5              
Vardas332            Pavarde332            8              5              3              9              2              
Vardas333            Pavarde333            9              3              4              2              6              
Vardas334            Pavarde334            0              2              2              0              8              
Vardas335            Pavarde335            3              3              7              2              1              
Vardas336            Pavarde336            6              5              4              1              2              
Vardas337            Pavarde337            0              3              7              6              1              
Vardas338            Pavarde338            8              10             4              3              8              
Vardas339            Pavarde339            3              7              5              0              3              
Vardas340            Pavarde340            1              8              7              1              0              
Vardas341            Pavarde341            7              3              6              7              10             
Vardas342            Pavarde342            10             0              3              7              8              
Vardas343            Pavarde343            7              2              1              3              10             
Vardas344            Pavarde344            10             2              9              10             8              
Vardas345            Pavarde345            9              2              2              3              8              
Vardas346            Pavarde346            1              0              1              10             4              
Vardas347            Pavarde347            8              8              0              6              6              
Vardas348            Pavarde348            8              9              3              2              6              
Vardas349            Pavarde349            4              2              0              10             2              
Vardas350            Pavarde350            8              7              5              3              4              
Vardas351            Pavarde351            8              9              6              6              2              
Vardas352            Pavarde352            9              4              7              1              8              
Vardas353            Pavarde353            9              0              10             1              7              
Vardas354            Pavarde354            1              1              1              8              6              
Vardas355            Pavarde355            8              1              3              10             6              
Vardas356            Pavarde356            4              6              5              6              5              
Vardas357            Pavarde357            6              9              6              1              1              
Vardas358            Pavarde358            1              9              5              8              4              
Vardas359            Pavarde359            1              0              6              1              10             
Vardas360            Pavarde360            6              9              7              10             5              
Vardas361            Pavarde361            5              10             1              0              7              
Vardas362            Pavarde362            3              3              7              4              4              
Vardas363            Pavarde363            7              10             6              5              7              
Vardas364            Pavarde364            5              1              8              2              10             
Vardas365            Pavarde365            6              3              6              4              7              
Vardas366            Pavarde366            6              8              0              4              5              
Vardas367            Pavarde367            2              3              2              4              8              
Vardas368            Pavarde368            5              8              10             5              10             
Vardas369            Pavarde369            2              0              1              5              5              
Vardas370            Pavarde370            9              3              7              3              7              
Vardas371            Pavarde371            9              0              3              3              10             
Vardas372            Pavarde372            9              1              6              5              10             
Vardas373            Pavarde373            6              3              0              9              7              
Vardas374            Pavarde374            8              6              3              4              3              
Vardas375            Pavarde375            8              6              8              10             0              
Vardas376            Pavarde376            7              6              1              4              6              
Vardas377            Pavarde377            7              2              8              5              0              
Vardas378            Pavarde378            2              8              5              5              6              
Vardas379            Pavarde379            7              5              4              4              8              
Vardas380            Pavarde380            10             10             3              6              9              
Vardas381            Pavarde381            8              3              6              8              0              
Vardas382            Pavarde382            2              3              2              9              2              
Vardas383            Pavarde383            4              0              6              4              4              
Vardas384            Pavarde384            6              2              8              3              10             
Vardas385            Pavarde385            5              5              4              8              5              
Vardas386            Pavarde386            5              8              6              8              1              
Vardas387            Pavarde387            3              5              6              2              8              
Vardas388            Pavarde388            10             1              10             3              10             
Vardas389            Pavarde389            4              6              9              1              10             
Vardas390            Pavarde390            10             3              1              1              4              
Vardas391            Pavarde391            7              0              6              3              0              
Vardas392            Pavarde392            2              7              1              6              3              
Vardas393            Pavarde393            0              1              0              7              2              
Vardas394            Pavarde394            1              8              7              3              6              
Vardas395            Pavarde395            6              7              0              5              10             
Vardas396            Pavarde396            7              1              6              9              3              
Vardas397            Pavarde397            1              3              10             5              2              
Vardas398            Pavarde398            5              9              0              5              2              
Vardas399            Pavarde399            1              5              1              9              6              
Vardas400            Pavarde400            0              10             6              5              0              
Vardas401            Pavarde401            10             5              2              3              7              
Vardas402            Pavarde402            7              6              2              3              7              
Vardas403            Pavarde403            2              2              1              2              7              
Vardas404            Pavarde404            9              3              1              9              4              
Vardas405            Pavarde405            0              10             5              10             0              
Vardas406            Pavarde406            1              7              1              5              7              
Vardas407            Pavarde407            9              8              8              4              2              
Vardas408            Pavarde408            2              6              9              8              3              
Vardas409            Pavarde409            2              1              2              2              3              
Vardas410            Pavarde410            2              1              2              2              9              
Vardas411            Pavarde411            0              5              10             1              6              
Vardas412            Pavarde412            4              3              10             3              10             
Vardas413            Pavarde413            8              8              8              2              5              
Vardas414            Pavarde414            4              6              1              8              6              
Vardas415            Pavarde415            4              4              8              10             0              
Vardas416            Pavarde416            6              4              5              0              1              
Vardas417            Pavarde417            6              7              2              4              5              
Vardas418            Pavarde418            1              7              2              0              6              
Vardas419            Pavarde419            2              8              5              6              6              
Vardas420            Pavarde420            5              2              0              7              9              
Vardas421            Pavarde421            1              7              2              0              8              
Vardas422            Pavarde422            6              10             7              9              8              
Vardas423            Pavarde423            10             1              1              5              10             
Vardas424            Pavarde424            4              1              6              6              10             
Vardas425            Pavarde425            8              8              4              3              6              
Vardas426            Pavarde426            3              2              9              2              9              
Vardas427            Pavarde427            9              9              7              1              8              
Vardas428            Pavarde428            8              0              5              2              6              
Vardas429            Pavarde429            1              3              10             0              3              
Vardas430            Pavarde430            8              10             7              9              3              
Vardas431            Pavarde431            3              1              5              5              6              
Vardas432            Pavarde432            0              3              1              9              5              
Vardas433            Pavarde433            2              5              6              0              1              
Vardas434            Pavarde434            4              1              9              4              7              
Vardas435            Pavarde435            8              9              2              0              1              
Vardas436            Pavarde436            4              7              3              6              2              
Vardas437            Pavarde437            5              3              1              9              7              
Vardas438            Pavarde438            0              9              2              7              3              
Vardas439            Pavarde439            7              2              8              6              7              
Vardas440            Pavarde440            9              6              5              0              10             
Vardas441            Pavarde441            1              2              10             0              3              
Vardas442            Pavarde442            10             3              2              6              6              
Vardas443            Pavarde443            5              10             6              2              4              
Vardas444            Pavarde444            4              9              3              5              4              
Vardas445            Pavarde445            0              0              8              3              0              
Vardas446            Pavarde446            3              9              3              5              8              
Vardas447            Pavarde447            2              7              2              6              5              
Vardas448            Pavarde448            9              4              1              4              2              
Vardas449            Pavarde449            10             6              1              3              0              
Vardas450            Pavarde450            0              2              10             1              2              
Vardas451            Pavarde451            7              8              4              3              7              
Vardas452            Pavarde452            10             7              10             8              0              
Vardas453            Pavarde453            1              8              2              6              3              
Vardas454            Pavarde454            4              3              1              8              2              
Vardas455            Pavarde455            5              0              0              10             5              
Vardas456            Pavarde456            3              8              10             5              10             
Vardas457            Pavarde457            9              0              5              5              6              
Vardas458            Pavarde458            8              4              6              6              7              
Vardas459            Pavarde459            7              3              4              2              4              
Vardas460            Pavarde460            0              7              5              0              0              
Vardas461            Pavarde461            9              8              3              2              6              
Vardas462            Pavarde462            0              9              3              7              1              
Vardas463            Pavarde463            3              3              2              10             3              
Vardas464            Pavarde464            10             2              6              9              9              
Vardas465            Pavarde465            3              6              2              4              6              
Vardas466            Pavarde466            1              3              0              6              0              
Vardas467            Pavarde467            8              7              6              4              10             
Vardas468            Pavarde468            3              7              2              0              6              
Vardas469            Pavarde469            1              2              10             7              3              
Vardas470            Pavarde470            3              4              6              8              1              
Vardas471            Pavarde471            9              4              5              0              9              
Vardas472            Pavarde472            0              10             7              10             10             
Vardas473            Pavarde473            6              8              9              2              9              
Vardas474            Pavarde474            2              5              9              6              8              
Vardas475            Pavarde475            6              1              2              5              8              
Vardas476            Pavarde476            7              3              0              7              0              
Vardas477            Pavarde477            7              8              6              10             9              
Vardas478            Pavarde478            10             4              9              1              0              
Vardas479            Pavarde479            1              9              2              9              6              
Vardas480            Pavarde480            6              5              6              6              6              
Vardas481            Pavarde481            1              3              6              5              5              
Vardas482            Pavarde482            2              6              7              3              0              
Vardas483            Pavarde483            4              1              3              2              10             
Vardas484            Pavarde484            3              6              8              10             9              
Vardas485            Pavarde485            4              5              7              1              6              
Vardas486            Pavarde486            7              5              4              7              9              
Vardas487            Pavarde487            8              2              3              5              4              
Vardas488            Pavarde488            8              0              2              0              1              
Vardas489            Pavarde489            2              1              2              5              6              
Vardas490            Pavarde490            4              9              6              8              6              
Vardas491            Pavarde491            7              7              10             8              5              
Vardas492            Pavarde492            6              3              3              2              3              
Vardas493            Pavarde493            5              6              0              1              1              
Vardas494            Pavarde494            3              0              8              2              1              
Vardas495            Pavarde495            10             10             2              8              5              
Vardas496            Pavarde496            1              3              3              3              6              
Vardas497            Pavarde497            0              1              7              2              2              
Vardas498            Pavarde498            9              10             0              7              5              
Vardas499            Pavarde499            7              7              9              2              1              
Vardas500            Pavarde500            1              0              9              6              0              
Vardas501            Pavarde501            5              6              1              5              4              
Vardas502            Pavarde502            10             2              1              5              1              
Vardas503            Pavarde503            3              4              10             7              1              
Vardas504            Pavarde504            4              10             8              6              1              
Vardas505            Pavarde505            9              6              1              6              5              
Vardas506            Pavarde506            9              2              7              10             5              
Vardas507            Pavarde507            7              4              1              3              10             
Vardas508            Pavarde508            8              0              7              8              3              
Vardas509            Pavarde509            1              2              9              9              5              
Vardas510            Pavarde510            0              5              1              6              10             
Vardas511            Pavarde511            2              5              3              10             9              
Vardas512            Pavarde512            9              2              1              1              7              
Vardas513            Pavarde513            7              2              6              6              0              
Vardas514            Pavarde514            1              1              1              3              4              
Vardas515            Pavarde515            10             10             3              3              3              
Vardas516            Pavarde516            1              7              0              4              2              
Vardas517            Pavarde517            1              10             10             8              6              
Vardas518            Pavarde518            5              10             8              0              8              
Vardas519            Pavarde519            2              7              5              1              4              
Vardas520            Pavarde520            3              10             4              9              2              
Vardas521            Pavarde521            5              1              9              7              9              
Vardas522            Pavarde522            4              0              8              8              9              
Vardas523            Pavarde523            3              2              2              10             6              
Vardas524            Pavarde524            7              8              2              0              5              
Vardas525            Pavarde525            0              7              5              2              2              
Vardas526            Pavarde526            1              7              4              7              1              
Vardas527            Pavarde527            8              3              2              9              8              
Vardas528            Pavarde528            5              1              2              8              7              
Vardas529            Pavarde529            3              2              10             6              8              
Vardas530            Pavarde530            2              2              7              10             9              
Vardas531            Pavarde531            10             8              4              9              4              
Vardas532            Pavarde532            7              8              7              2              2              
Vardas533            Pavarde533            2              4              7              8              3              
Vardas534            Pavarde534            6              5              7              9              3              
Vardas535            Pavarde535            6              6              5              5              1              
Vardas536            Pavarde536            10             3              10             0              8              
Vardas537            Pavarde537            2              8              8              0              7              
Vardas538            Pavarde538            6              3              5              5              4              
Vardas539            Pavarde539            7              7              3              2              10             
Vardas540            Pavarde540            4              6              6              2              3              
Vardas541            Pavarde541            4              9              8              1              9              
Vardas542            Pavarde542            6              9              10             10             0              
Vardas543            Pavarde543            0              10             7              5              0              
Vardas544            Pavarde544            9              1              10             0              7              
Vardas545            Pavarde545            6              3              1              9              5              
Vardas546            Pavarde546            8              1              6              9              1              
Vardas547            Pavarde547            7              8              9              0              1              
Vardas548            Pavarde548            6              4              1              6              0              
Vardas549            Pavarde549            5              7              0              6              8              
Vardas550            Pavarde550            9              6              2              4              4              
Vardas551            Pavarde551            8              2              0              8              7              
Vardas552            Pavarde552            9              3              10             6              2              
Vardas553            Pavarde553            0              6              9              1              6              
Vardas554            Pavarde554            6              2              10             10             5              
Vardas555            Pavarde555            9              9              10             4              1              
Vardas556            Pavarde556            1              1              3              2              2              
Vardas557            Pavarde557            10             9              4              5              6              
Vardas558            Pavarde558            8              10             7              0              9              
Vardas559            Pavarde559            1              8              9              8              1              
Vardas560            Pavarde560            9              1              10             8              6              
Vardas561            Pavarde561            5              9              4              3              3              
Vardas562            Pavarde562            5              9              6              1              2              
Vardas563            Pavarde563            4              6              1              6              9              
Vardas564            Pavarde564            0              8              6              5              0              
Vardas565            Pavarde565            4              3              8              6              1              
Vardas566            Pavarde566            3              6              3              8              4              
Vardas567            Pavarde567            1              10             4              2              0              
Vardas568            Pavarde568            5              4              3              6              8              
Vardas569            Pavarde569            9              6              1              10             4              
Vardas570            Pavarde570            6              0              0              7              7              
Vardas571            Pavarde571            4              6              6              0              0              
Vardas572            Pavarde572            8              9              5              2              2              
Vardas573            Pavarde573            4              7              7              5              9              
Vardas574            Pavarde574            10             5              3              10             8              
Vardas575            Pavarde575            9              4              3              4              10             
Vardas576            Pavarde576            4              1              7              5              2              
Vardas577            Pavarde577            6              1              0              3              6              
Vardas578            Pavarde578            2              6              9              7              5              
Vardas579            Pavarde579            6              1              4              6              5              
